N,P,K,Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Temperature,Humidity,Rainfall,Sunlight_Hours,Wind_Speed,Altitude,Fertilizer_Used,Recommended_Crop
64,86,49,6.65,38.18,0.67,0.36,35.85,58.26,1369.51,10.08,11.87,1079,345.91,Rice
84,10,38,7.87,36.36,0.44,2.59,36.54,37.98,1249.99,10.31,14.08,989,165.44,Barley
108,56,15,4.74,26.44,0.54,1.25,13.91,86.17,1778.07,8.2,12.74,2385,341.39,Sugarcane
90,13,61,6.89,22.54,1.11,0.48,36.1,76.53,1304.4,9.62,2.88,668,290.85,Pulses
28,72,10,7.37,35.62,1.45,1.97,38.25,49.53,403.11,10.22,13.01,1126,169.66,Millet
107,61,61,8.41,38.89,0.47,2.68,34.57,45.5,2914.37,9.47,4.66,1249,302.06,Rice
148,19,33,7.73,22.23,0.81,2.6,12.74,82.46,2793.25,5.55,11.16,1391,232.19,Wheat
155,37,111,5.6,56.13,1.49,1.71,12.54,55.62,309.22,9.69,12.16,1228,253.77,Cotton
82,15,43,7.34,37.86,1.41,0.36,20.73,81.76,1681.72,9.19,9.29,689,96.17,Rice
158,36,16,7.55,36.33,0.66,2.12,31.15,74.55,2195.77,4.77,8.94,1766,292.25,Rice
100,21,84,7.42,31.78,0.62,1.87,10.37,35.53,1907.62,9.17,9.08,1439,151.62,Wheat
155,71,20,7.78,12.9,0.51,0.71,38.52,78.82,1189.48,11,5.46,1455,107.76,Sugarcane
52,61,45,8.11,54.12,0.4,2.71,25.76,62.39,2449.17,7.31,16.26,2378,295,Rice
142,57,29,4.89,25.85,0.8,0.35,20.75,70.66,1921.29,5.07,10.23,379,304.17,Rice
24,76,72,4.92,42.12,0.64,1.18,26.84,43.14,869,8.89,10.6,52,308.71,Maize
60,55,89,7.69,40.37,1.17,0.37,31.47,30.02,1911.45,5.91,4.51,836,314.33,Rice
47,83,72,5.51,39.22,0.51,2.74,18.2,50.02,969.08,8.36,10.03,1407,296.86,Cotton
154,24,78,4.73,36.29,1.16,0.2,18.73,41.44,1868.38,9.35,9.31,1821,132.11,Sugarcane
91,80,97,6.1,19.07,0.57,1.33,24.05,56.11,2340.09,8.08,8.87,2435,229.52,Rice
31,45,39,7.78,24.03,0.97,2.6,30.1,35.45,1047.12,6.47,9.48,71,182.1,Pulses
52,23,39,5.01,36.21,1.03,0.83,31.19,83.7,991.06,10.86,5.68,1271,174.46,Barley
67,87,112,7.19,49.47,1.07,0.4,19.72,37.12,2234.77,5.09,16.1,1933,242.78,Wheat
81,12,110,4.51,31.6,0.43,0.47,19.67,75.85,1623.44,4.34,4.71,1098,273.11,Wheat
56,76,106,4.94,20.2,0.57,1.27,24.61,86.36,588.64,10.63,11.25,734,250.89,Cotton
118,28,93,5.9,14.4,0.52,1.34,26.26,38.89,1727.95,4.27,7.13,1512,159.4,Rice
123,85,31,4.83,43.15,0.95,2.18,29.48,50.79,2056.99,7.9,14.66,1906,326.87,Rice
54,63,114,7.88,31.17,0.3,0.79,28.53,73.86,1575.68,8.3,14.13,346,121.41,Rice
120,78,70,7.96,16.27,0.87,2.14,21.18,72.87,1947.65,6.71,14.27,761,65.39,Rice
150,19,30,7.52,43.72,0.31,3,18.91,32.24,1221.59,6.21,17.82,516,71.67,Wheat
20,42,46,5.47,20.38,0.64,2.61,19.24,34.24,2657.88,9.92,15.83,880,62.25,Maize
24,22,36,6.59,35.45,1.09,1.94,29.36,37.21,871.9,6.93,7.26,861,335.42,Potato
122,60,111,5.24,25.31,0.74,2.83,22.99,64.08,987.77,4.99,8.48,893,131.33,Potato
46,41,44,5.63,56.58,0.56,2.97,14.03,33.3,2366.25,7.71,17.48,1676,237.87,Tomato
156,84,47,6.56,21.41,1,1.75,10.18,65.3,362,9.81,16.65,2332,269.88,Wheat
34,33,113,7.44,31,1.16,0.89,10.89,50.55,2964.66,6.46,18.5,1452,328.24,Wheat
109,44,69,4.88,57.97,0.53,2.75,36.03,70.16,1961.24,5.06,16.93,1357,244.78,Rice
61,79,79,5.69,25.94,0.59,2.55,23.73,76.92,2460.85,6.73,3.46,853,101.96,Rice
143,49,41,8.21,42.23,1.03,0.35,29.72,77.48,1835.04,8.36,7.27,400,152.11,Rice
82,63,89,6.22,25.84,1.45,2.82,37.87,32.26,2401.72,4.81,6.56,210,61.7,Rice
115,53,101,8.26,15.53,0.48,1.16,13.79,86.83,1415.76,5.88,8.2,2477,120.49,Wheat
71,71,89,8.47,41.38,1.05,1.03,23.43,65.2,1814.88,11.77,6.55,1780,116.56,Rice
115,77,36,6.61,55.8,1.38,1.1,26.17,83.74,2053.39,5.63,15.91,2280,132.34,Rice
151,42,12,5.65,32.63,0.8,1.03,35.25,66.91,2725.4,4.51,14.32,1269,317.86,Rice
48,86,58,7.66,41.31,0.61,1.6,39.81,59.05,297.36,7.46,4.78,1507,227.76,Millet
55,65,94,5.14,40.44,1.07,1.78,31.35,73.78,504.95,4.59,4.42,2038,257.93,Millet
32,45,111,5.51,30.75,0.24,1.33,29.26,43.17,2133.81,4.11,5.14,758,241.44,Rice
90,63,111,7.64,40.74,0.67,1.3,37.61,36.19,1164.21,4.12,6.97,2198,66.57,Wheat
105,28,39,6.23,22.97,0.54,2.24,35.12,35.43,2097.65,6.37,13.97,2342,205.08,Rice
47,52,31,5.31,28.9,0.49,0.11,35.95,80.95,837.66,4.59,8.01,253,243.53,Barley
85,21,28,7.1,32.12,0.43,2.85,10.08,84.75,1959.13,5.54,9.06,1957,307.2,Wheat
64,20,40,7.43,53.2,1.16,2.17,25.43,78.86,1538.72,9.19,1.8,2151,322.4,Rice
81,79,29,5,27.42,1.44,2.15,33.48,84.27,544.17,6.31,10.12,118,116.3,Millet
153,21,28,5.61,41.76,0.7,1.32,15.44,89.09,2802.4,8.6,9.39,1995,106.19,Sugarcane
47,50,11,5.39,20.67,0.26,2.9,32.54,61.56,2418.15,7.29,13.99,1578,192.11,Rice
47,34,49,6.02,22.63,1.13,0.1,10.27,39.23,2387.01,11.08,4.83,1573,174.12,Wheat
127,12,48,7.55,42.42,0.9,0.32,27.26,66.48,2151.39,9.57,14.73,2169,277.72,Rice
63,12,100,7.35,48.12,1.14,2.43,35.54,51.23,259.78,10.82,14.64,1613,159.58,Millet
103,37,81,7.15,33.11,1.04,2.24,22.94,50.79,1612.94,8.15,12.83,205,343.38,Rice
49,32,118,4.53,26.75,1.38,0.89,32.18,73.67,2302.69,10.25,7.8,1902,242.13,Rice
94,57,63,5.07,55.51,0.38,1.82,25.91,35.44,806.9,8.92,2.12,1856,117.77,Rice
147,76,36,5.39,16.79,0.42,1.64,29.42,32.25,1922.74,9.95,5.5,1788,163.1,Rice
111,51,88,5.59,46.04,0.64,1.63,25.5,71.72,2802.55,9.48,18.67,1247,249.09,Rice
148,49,21,5.09,44.51,0.84,1.83,24.28,45.64,2308.21,6.4,17.71,106,233.22,Rice
140,15,87,6.14,44.51,1.4,2.98,35.25,53.13,1733.39,5,4.75,1738,269.88,Rice
46,29,80,4.8,56.77,1.38,2.96,12.78,48.46,1067.79,10.45,7.1,264,176.85,Potato
140,20,26,7.5,46.41,1.33,2.95,27.54,66.89,1982.31,4.62,1.19,451,276.64,Rice
135,36,99,7.65,25.08,0.49,1.69,13.44,39.27,2200.33,8.84,6.9,80,172.77,Wheat
22,30,110,6.8,27.67,1.15,1.02,26.88,73.24,1985.76,11.91,16.21,2367,94.57,Rice
122,22,93,4.86,29.56,0.7,1.72,38.91,85.5,2315.17,5.46,11.85,1466,84.15,Rice
156,44,19,8.06,11.54,1.41,1.91,11.71,80.17,981.89,9.95,17.51,1816,338.43,Wheat
81,56,28,8.36,55.68,0.48,1,22.66,84.42,1621.87,11.63,19.27,1120,65.09,Rice
70,37,91,5.31,13.68,0.38,1.94,34.06,86.22,1736.28,7.96,5.2,643,253.64,Rice
78,30,39,7.32,44.99,1.3,1.9,21.09,52.34,451.68,8.58,11.54,1002,338.76,Cotton
137,27,39,7.87,46.51,1.13,2.72,25.61,77.74,694.32,6.94,15.35,1996,177.55,Millet
115,40,34,6.66,52.19,1.27,0.79,13.44,59.69,1058.54,7.53,12.81,1915,267.24,Wheat
132,69,97,5.79,37.67,0.41,2.12,16.69,46.19,333.72,9.04,5.94,2332,190.06,Wheat
81,46,83,6.41,46.26,1.35,1.41,30.59,74.81,854.09,10.97,19.57,1187,330.18,Potato
71,30,75,6.55,25.14,1.08,0.48,34.86,44.65,1662.04,11.62,13.81,192,176.1,Rice
31,23,111,6.1,47.28,1.05,1.02,29.39,36.58,1716.89,8.35,1.19,582,97.3,Rice
58,69,105,8.22,27.17,0.96,0.27,35.11,72.28,898.4,10.26,10.81,943,157.56,Cotton
149,32,44,7.48,55.14,1.19,1.03,28.17,47.25,2850.17,9.89,4.15,549,326.31,Rice
150,38,60,5.47,18.17,0.74,0.3,34.31,48.36,1508.07,5.98,14.74,168,226.73,Rice
132,56,110,6.84,25.79,0.37,2.78,39.49,82.87,1984.37,7.69,2.24,2411,132.13,Rice
120,39,80,7.25,34.94,0.9,0.4,12.48,38.13,285.01,9.47,7.47,1981,188.62,Wheat
132,47,80,5.06,48.79,1.17,2.47,24.39,75.89,1317.71,5.03,6.96,884,216.71,Sugarcane
100,36,36,5.93,47.44,0.4,2.73,15.7,53.17,1717.9,11.07,17.94,1806,60.55,Maize
132,24,19,8.12,20.54,0.49,1.46,23.96,83.58,1074.31,7.22,17.6,2365,273.99,Sugarcane
21,68,106,6.77,17.21,1.11,0.26,24.99,56.42,679.84,7.63,16.64,561,83.77,Wheat
149,12,52,5.37,25.2,0.55,1.83,28.66,54.54,763.21,10.96,15.18,1651,332.49,Millet
73,19,64,4.99,34.19,0.42,0.78,23.18,55.79,1506.34,5.38,19.14,30,214.69,Rice
106,88,80,6.57,36.95,1.36,0.61,19.74,80.26,398.84,4.28,4.63,1290,63.95,Wheat
148,89,15,6.69,31.46,0.41,1.74,11.3,30.63,856.49,6.29,16.58,2167,227.21,Wheat
145,26,15,5.84,43.15,0.65,1.13,11.04,72.29,2214.71,5.2,13.8,124,143.94,Sugarcane
149,20,86,7.02,31.38,0.76,2.22,15.25,42.31,801.27,11.88,14.33,1634,328.19,Wheat
72,57,57,4.77,57.32,0.82,1.81,23.47,82.93,527.42,8.53,9.11,1693,172.56,Wheat
87,14,86,5.08,23.05,0.67,2.51,22.53,52.56,434.53,8.52,13.39,60,162.2,Cotton
142,78,11,6.69,41.37,1.39,0.27,15.72,50.34,2968.44,10.35,5.51,1955,321.49,Wheat
57,73,92,4.75,40.57,1.06,0.78,34.67,72.76,443.22,6.07,11.07,1686,190.34,Millet
43,23,60,8.02,24.08,0.67,1.74,30.5,73.35,1413.8,8.18,19.44,1550,281.59,Cotton
88,59,70,5.07,30.58,0.67,2.65,20.29,68.02,1631,5.14,14.01,764,219.6,Rice
135,35,28,7.2,28.27,0.85,2.46,33.91,49.79,2900.81,4.75,13.83,805,223.9,Rice
117,81,111,6.06,18.62,0.24,2.07,39.68,66.62,2695.08,7.52,5.47,1511,54.8,Rice
158,78,11,6.1,33.86,1.4,1.76,17.35,33.26,865.5,11.3,16.98,1317,125.38,Wheat
116,16,60,7.56,29.33,0.49,1.93,20.88,87.31,437.16,7.53,18.54,2070,186.05,Wheat
143,25,35,6.5,18.92,1.11,0.72,39.79,57.16,1426.2,7.61,3.06,58,128.87,Sugarcane
89,64,79,7.4,32.49,1.21,1.83,14.14,48.27,482.56,10.92,9.6,2308,204.72,Wheat
112,87,29,6.52,31.09,1.28,1.53,12.32,81.65,2639.1,6.29,13.65,1688,325.62,Wheat
22,65,32,6.87,16.57,0.42,1.21,25.63,49.45,2170.57,7.92,17.79,265,254.74,Rice
109,13,63,7.54,16.56,0.9,2.67,24.05,89.83,2842.6,5.32,11.2,879,336.53,Rice
115,57,24,6.93,42.38,0.31,2.51,12.35,71.44,1794.47,10.77,8.98,1227,222.27,Wheat
71,26,15,6.96,45.33,1.25,0.32,18.7,68.97,1220.39,4.3,1.75,1301,186.68,Wheat
147,45,101,7.66,57.06,0.83,2.96,22.57,39.11,1601.81,7.3,11.48,1593,266.4,Rice
58,79,44,8.3,14.35,0.41,0.77,34.67,66.59,650.18,6.21,7.26,1694,328.16,Millet
101,89,84,6.01,15.89,1.13,0.72,31.24,39.31,1496.58,6.06,19.87,2364,83.36,Sugarcane
123,47,17,6.81,12.59,0.63,2.84,37.44,77.02,2996.38,5.95,12.36,417,322.88,Rice
148,71,66,4.85,36.61,0.35,1.39,19.97,38.3,2133.42,6.96,5.08,157,140.71,Sugarcane
30,57,59,5.94,41.14,0.8,2.44,19.28,51.53,374.6,11.21,19.86,1269,338.41,Cotton
61,19,58,6.15,30.18,0.51,0.94,23.9,58.6,2231.87,9.67,12.23,593,307.69,Rice
118,45,97,7.84,49.9,1.44,2.63,10.23,78.31,481.85,11.12,15.62,219,228.7,Wheat
26,38,30,6.55,44.33,0.67,2.51,16.22,67.97,1293.8,5.57,19.41,465,58.08,Wheat
109,87,45,7.42,59.29,0.94,1.61,16.34,74.88,2401.5,10.79,15.26,448,155.19,Wheat
131,13,80,4.58,16.89,1.43,2.14,11.83,44.64,558.65,7.44,18.92,1721,159.06,Sugarcane
79,53,78,6.36,12.92,0.71,2.9,23.65,44.24,1019.68,11.85,7.88,705,118.43,Barley
132,65,67,8.11,23.74,0.67,1.41,37.17,52.84,746.73,8.75,1.98,388,269.55,Millet
21,51,72,5.4,10.95,0.41,1.53,10.12,31.12,2636.27,7.9,19.32,134,331.13,Potato
148,22,102,4.63,56.63,1.42,2.2,28.85,79.84,614.17,11.4,11.41,2389,202.71,Millet
67,55,25,6.23,25.2,1.24,1.22,36.38,52.2,1700.2,7.05,15.65,1500,334.2,Rice
159,42,15,7.32,37.62,0.49,2.89,13.23,34.05,970.88,9.99,11.48,2478,207.36,Wheat
56,30,87,6.32,25.9,0.63,0.22,37.52,82.33,1620.32,7.79,15.46,1243,215.75,Rice
28,89,61,6.34,22.29,1.39,1.27,34.56,88.07,668.62,9.87,2.13,486,88.92,Millet
118,88,11,7.18,17.62,0.9,2.17,16.44,68.8,2321.21,6.21,2.27,845,199.54,Wheat
67,66,98,5.52,26.02,0.92,1.35,37.16,51.4,2000.71,7.25,18.48,1011,315.7,Rice
150,78,104,7.51,40.77,1.04,0.85,34.12,54.83,321.59,6.76,9.28,664,237.48,Millet
73,79,86,5.11,58.58,1.19,1.3,13.34,45.37,2853.18,10.95,6.72,1823,245.22,Rice
139,76,27,6.08,37.9,1.42,2.66,34.92,72.68,2700.33,11.43,18.38,93,126.84,Rice
135,57,90,7.12,36.64,1.24,1.69,26.27,51.36,1033.78,9.88,19.98,1386,145.03,Sugarcane
94,85,118,7.81,11.76,1.41,1.07,34.48,31.95,1017.27,10.57,12.67,50,75.4,Barley
132,42,101,7.67,52,1.27,2.05,28.53,32.77,1597.7,6.83,11.64,2093,318.09,Rice
123,45,85,7.39,12.24,0.26,1.87,21.76,66.88,1933.53,5.21,18.43,933,295.83,Rice
103,42,44,5.94,55.31,0.35,1.73,28.03,47.42,1014.9,9.49,4.39,227,343.85,Sugarcane
131,40,95,4.99,36.93,1.35,1.23,29.09,40.12,2426.99,9.1,13.03,899,241.99,Rice
118,30,48,5.37,18.42,0.24,0.31,32.99,63.14,419.79,6.11,16.32,87,310.52,Millet
112,36,10,7.96,32.59,1.23,1.9,34.92,46.71,1313.94,11.3,15.05,328,178.92,Sugarcane
147,81,46,7.93,59.75,1.3,1.32,29.9,34.4,1756.27,6.86,15.22,1760,132.57,Rice
129,71,30,8.31,25.25,0.74,1.34,39.69,41.61,2439.11,10.52,16.29,572,55.3,Rice
101,35,10,4.8,23.47,0.66,0.78,33.36,76.67,2641.09,5.03,5.03,1756,96.96,Rice
73,75,13,6.65,15.9,0.45,0.82,37.32,81.12,884.34,6.29,11.55,56,206.8,Wheat
87,21,105,7.09,39.86,0.26,2.38,19.58,82.33,874.98,8.92,3.09,2409,328.72,Wheat
52,31,67,7.34,14.46,1.17,1.49,19.49,62.09,1231.14,5.94,2.72,2094,100.15,Wheat
40,26,10,7.08,48.3,0.3,0.42,20.87,87.06,1397.16,11.65,16.54,373,51.16,Tomato
67,16,22,7.58,55.96,1.43,0.23,23.19,39.1,2575.53,8.41,16.43,732,298.35,Rice
147,77,55,5.94,56.59,0.59,0.75,38.84,70.7,221.2,9.85,4.47,1661,312.76,Millet
155,46,56,5.22,15.4,1.23,1.51,12.21,72.26,2117.89,8.49,11.75,447,76.37,Sugarcane
154,47,90,5.32,37.91,0.28,1.89,24.95,33.19,816.16,7.25,1.74,1059,292.54,Wheat
147,20,85,4.55,14.86,0.9,0.52,14.83,46.95,2670.73,10.58,8.05,461,261.76,Sugarcane
52,10,16,5.9,38.6,0.65,1.36,34.33,86.94,1088.57,4.18,3.8,1537,180.1,Sugarcane
134,34,60,4.87,50.75,0.24,0.31,10.93,75.54,1705.16,7.41,8.08,1606,276.15,Sugarcane
138,51,12,5.79,36.89,1.05,0.21,23.65,33.28,1121.3,11.05,12.02,2318,79.55,Sugarcane
41,61,59,7.01,53.6,1.43,2.6,21.84,62.45,1390.79,4.68,16.29,1502,322.9,Rice
57,33,35,8.08,50.08,0.21,2.01,12.77,68.92,1662.25,5.66,10.75,2279,185.26,Wheat
128,62,40,7.86,23.83,0.55,2.37,21.3,88.39,2293.1,11.68,18.7,1672,51.93,Rice
70,65,109,5.51,41.51,1.11,0.63,34.27,72.99,538.12,11.67,2.92,1941,337.98,Millet
27,72,71,5.04,10.37,1.33,1.03,14.12,68.32,1186.24,7.08,11.24,1277,181.41,Sugarcane
46,17,35,5.27,29.8,0.45,1.39,39.51,84.51,1990.98,10.02,18.24,2269,167.55,Rice
46,68,76,8.38,21.9,0.29,2.01,11.75,69.66,1848.64,9.01,5.45,106,215.72,Wheat
40,54,117,6.7,56.86,0.21,1.65,18.67,85.93,2386.33,7.94,15.65,1788,348.88,Wheat
49,36,64,5.23,30.27,0.48,1.7,33.25,59.57,2689.41,10.51,5.85,91,75.11,Rice
116,61,37,7.86,42.7,0.29,0.56,20.73,73.11,463.41,9.21,19.58,892,289.87,Cotton
47,27,53,6.08,46.6,0.67,1.48,24.41,67.91,2198.76,4.73,15.38,1551,149.32,Rice
130,25,90,8.1,48.66,0.77,2.49,15.6,63.15,995.22,10.72,13.41,400,101.4,Wheat
80,75,47,5.54,46.79,0.82,1.58,31.46,49.45,1547.88,6.2,17.59,2254,284.97,Rice
67,14,39,6.07,24.46,0.39,0.68,15.39,84.23,1957.77,9.06,12.17,1483,348.72,Wheat
23,12,75,6.52,44.3,0.8,1.3,35.46,46.2,621.71,10.2,6.55,899,287.63,Millet
54,89,17,8.07,37.45,0.21,2.29,26.18,39.56,1170.45,11.18,7.04,660,252.14,Potato
68,79,23,7.98,39.87,0.51,0.49,26.44,72.72,2933.03,11.4,12.19,75,291.41,Rice
36,16,110,6.8,10.04,0.68,1.78,38.01,62.79,581.63,11.41,11.03,1374,102.83,Millet
65,59,108,5.39,22.91,0.35,2.9,33.19,45.77,433.33,9.26,18.25,1676,208.09,Millet
136,23,115,6.11,56.53,1.26,1.2,32.29,82.22,2543.04,8.99,11.3,1247,141.39,Rice
25,47,112,8.4,24.5,0.46,0.23,35.74,47.17,1405.78,4.12,10.7,2104,248.01,Barley
118,88,71,6.93,31.9,1.18,1.94,12.75,33.83,2089.42,4.68,9.52,1593,90.38,Wheat
143,56,84,7.62,19.33,0.82,0.24,31.78,30.92,1056.06,7.14,3.45,2428,277.71,Sugarcane
56,42,72,6.3,16.93,0.82,0.66,17,85.37,755.61,10.34,3.29,93,196.42,Wheat
43,52,88,6.63,20.43,1.04,0.24,18.43,54.13,794.93,8.74,13.69,94,233.13,Wheat
112,38,75,6.22,37.68,0.26,0.59,10.45,42.81,747.65,5.88,9.72,1691,203.13,Wheat
